nazov,date,daily_pocet_do,daily_pocet_z,daily_total,hour_count,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2022-09-06,708,713,1421,24,48.110442,17.127512,Centrum,Petržalka,1,0,9,2022
#1 - Starý Most,2022-09-07,694,695,1389,24,48.110442,17.127512,Centrum,Petržalka,2,0,9,2022
#1 - Starý Most,2022-09-08,621,175,796,24,48.110442,17.127512,Centrum,Petržalka,3,0,9,2022
#1 - Starý Most,2022-09-09,1268,195,1463,24,48.110442,17.127512,Centrum,Petržalka,4,0,9,2022
#1 - Starý Most,2022-09-10,673,648,1321,24,48.110442,17.127512,Centrum,Petržalka,5,1,9,2022
#1 - Starý Most,2022-09-11,654,660,1314,24,48.110442,17.127512,Centrum,Petržalka,6,1,9,2022
#1 - Starý Most,2022-09-12,683,128,811,24,48.110442,17.127512,Centrum,Petržalka,0,0,9,2022
#1 - Starý Most,2022-09-13,1476,291,1767,24,48.110442,17.127512,Centrum,Petržalka,1,0,9,2022
#1 - Starý Most,2022-09-14,624,615,1239,24,48.110442,17.127512,Centrum,Petržalka,2,0,9,2022
#1 - Starý Most,2022-09-15,613,607,1220,24,48.110442,17.127512,Centrum,Petržalka,3,0,9,2022
#1 - Starý Most,2022-09-16,599,603,1202,24,48.110442,17.127512,Centrum,Petržalka,4,0,9,2022
#1 - Starý Most,2022-09-17,591,589,1180,24,48.110442,17.127512,Centrum,Petržalka,5,1,9,2022
#1 - Starý Most,2022-09-18,582,585,1167,24,48.110442,17.127512,Centrum,Petržalka,6,1,9,2022
#1 - Starý Most,2022-09-19,571,567,1138,24,48.110442,17.127512,Centrum,Petržalka,0,0,9,2022
#1 - Starý Most,2022-09-20,530,523,1053,24,48.110442,17.127512,Centrum,Petržalka,1,0,9,2022
#1 - Starý Most,2022-09-21,601,164,765,24,48.110442,17.127512,Centrum,Petržalka,2,0,9,2022
#1 - Starý Most,2022-09-22,891,185,1076,24,48.110442,17.127512,Centrum,Petržalka,3,0,9,2022
#1 - Starý Most,2022-09-23,818,158,976,24,48.110442,17.127512,Centrum,Petržalka,4,0,9,2022
#1 - Starý Most,2022-09-24,1100,121,1221,24,48.110442,17.127512,Centrum,Petržalka,5,1,9,2022
#1 - Starý Most,2022-09-25,481,473,954,24,48.110442,17.127512,Centrum,Petržalka,6,1,9,2022
#1 - Starý Most,2022-09-26,860,157,1017,24,48.110442,17.127512,Centrum,Petržalka,0,0,9,2022
#1 - Starý Most,2022-09-27,446,96,542,24,48.110442,17.127512,Centrum,Petržalka,1,0,9,2022
#1 - Starý Most,2022-09-28,811,135,946,24,48.110442,17.127512,Centrum,Petržalka,2,0,9,2022
#1 - Starý Most,2022-09-29,539,125,664,24,48.110442,17.127512,Centrum,Petržalka,3,0,9,2022
#1 - Starý Most,2022-09-30,191,59,250,24,48.110442,17.127512,Centrum,Petržalka,4,0,9,2022
#1 - Starý Most,2022-10-01,362,57,419,24,48.110442,17.127512,Centrum,Petržalka,5,1,10,2022
#1 - Starý Most,2022-10-02,599,71,670,24,48.110442,17.127512,Centrum,Petržalka,6,1,10,2022
#1 - Starý Most,2022-10-03,548,93,641,24,48.110442,17.127512,Centrum,Petržalka,0,0,10,2022
#1 - Starý Most,2022-10-04,632,130,762,24,48.110442,17.127512,Centrum,Petržalka,1,0,10,2022
#1 - Starý Most,2022-10-05,697,140,837,24,48.110442,17.127512,Centrum,Petržalka,2,0,10,2022
#1 - Starý Most,2022-10-06,746,102,848,24,48.110442,17.127512,Centrum,Petržalka,3,0,10,2022
#1 - Starý Most,2022-10-07,535,72,607,24,48.110442,17.127512,Centrum,Petržalka,4,0,10,2022
#1 - Starý Most,2022-10-08,825,203,1028,24,48.110442,17.127512,Centrum,Petržalka,5,1,10,2022
#1 - Starý Most,2022-10-09,498,490,988,24,48.110442,17.127512,Centrum,Petržalka,6,1,10,2022
#1 - Starý Most,2022-10-10,503,495,998,24,48.110442,17.127512,Centrum,Petržalka,0,0,10,2022
#1 - Starý Most,2022-10-11,507,509,1016,24,48.110442,17.127512,Centrum,Petržalka,1,0,10,2022
#1 - Starý Most,2022-10-12,509,509,1018,24,48.110442,17.127512,Centrum,Petržalka,2,0,10,2022
#1 - Starý Most,2022-10-13,518,512,1030,24,48.110442,17.127512,Centrum,Petržalka,3,0,10,2022
#1 - Starý Most,2022-10-14,518,524,1042,24,48.110442,17.127512,Centrum,Petržalka,4,0,10,2022
#1 - Starý Most,2022-10-15,528,524,1052,24,48.110442,17.127512,Centrum,Petržalka,5,1,10,2022
#1 - Starý Most,2022-10-16,532,538,1070,24,48.110442,17.127512,Centrum,Petržalka,6,1,10,2022
#1 - Starý Most,2022-10-19,566,73,639,24,48.110442,17.127512,Centrum,Petržalka,2,0,10,2022
