nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-02-07,172,28,200,48.110442,17.127512,Centrum,Petržalka,4,0,2,2025
#1 - Starý Most,2025-02-08,102,11,113,48.110442,17.127512,Centrum,Petržalka,5,1,2,2025
#1 - Starý Most,2025-02-09,124,25,149,48.110442,17.127512,Centrum,Petržalka,6,1,2,2025
#1 - Starý Most,2025-02-10,203,43,246,48.110442,17.127512,Centrum,Petržalka,0,0,2,2025
#1 - Starý Most,2025-02-11,195,43,238,48.110442,17.127512,Centrum,Petržalka,1,0,2,2025
#1 - Starý Most,2025-02-12,142,29,171,48.110442,17.127512,Centrum,Petržalka,2,0,2,2025
#1 - Starý Most,2025-02-13,56,19,75,48.110442,17.127512,Centrum,Petržalka,3,0,2,2025
#1 - Starý Most,2025-02-14,144,36,180,48.110442,17.127512,Centrum,Petržalka,4,0,2,2025
#1 - Starý Most,2025-02-15,141,20,161,48.110442,17.127512,Centrum,Petržalka,5,1,2,2025
#1 - Starý Most,2025-02-16,95,14,109,48.110442,17.127512,Centrum,Petržalka,6,1,2,2025
#1 - Starý Most,2025-02-18,184,28,212,48.110442,17.127512,Centrum,Petržalka,1,0,2,2025
#1 - Starý Most,2025-02-20,156,30,186,48.110442,17.127512,Centrum,Petržalka,3,0,2,2025
#1 - Starý Most,2025-02-21,159,42,201,48.110442,17.127512,Centrum,Petržalka,4,0,2,2025
#1 - Starý Most,2025-02-22,99,17,116,48.110442,17.127512,Centrum,Petržalka,5,1,2,2025
#1 - Starý Most,2025-02-23,167,24,191,48.110442,17.127512,Centrum,Petržalka,6,1,2,2025
#1 - Starý Most,2025-02-25,199,44,243,48.110442,17.127512,Centrum,Petržalka,1,0,2,2025
#1 - Starý Most,2025-02-27,48,13,61,48.110442,17.127512,Centrum,Petržalka,3,0,2,2025
#1 - Starý Most,2025-02-28,203,41,244,48.110442,17.127512,Centrum,Petržalka,4,0,2,2025
#1 - Starý Most,2025-03-01,183,25,208,48.110442,17.127512,Centrum,Petržalka,5,1,3,2025
#1 - Starý Most,2025-03-02,200,27,227,48.110442,17.127512,Centrum,Petržalka,6,1,3,2025
#1 - Starý Most,2025-03-03,263,52,315,48.110442,17.127512,Centrum,Petržalka,0,0,3,2025
#1 - Starý Most,2025-03-04,347,56,403,48.110442,17.127512,Centrum,Petržalka,1,0,3,2025
#1 - Starý Most,2025-03-05,266,70,336,48.110442,17.127512,Centrum,Petržalka,2,0,3,2025
#1 - Starý Most,2025-03-06,404,80,484,48.110442,17.127512,Centrum,Petržalka,3,0,3,2025
#1 - Starý Most,2025-03-07,481,67,548,48.110442,17.127512,Centrum,Petržalka,4,0,3,2025
#1 - Starý Most,2025-03-08,664,56,720,48.110442,17.127512,Centrum,Petržalka,5,1,3,2025
#1 - Starý Most,2025-03-09,610,60,670,48.110442,17.127512,Centrum,Petržalka,6,1,3,2025
#1 - Starý Most,2025-03-10,387,69,456,48.110442,17.127512,Centrum,Petržalka,0,0,3,2025
#1 - Starý Most,2025-03-11,451,96,547,48.110442,17.127512,Centrum,Petržalka,1,0,3,2025
#1 - Starý Most,2025-03-12,387,78,465,48.110442,17.127512,Centrum,Petržalka,2,0,3,2025
#1 - Starý Most,2025-03-13,183,53,236,48.110442,17.127512,Centrum,Petržalka,3,0,3,2025
#1 - Starý Most,2025-03-14,110,21,131,48.110442,17.127512,Centrum,Petržalka,4,0,3,2025
#1 - Starý Most,2025-03-15,91,21,112,48.110442,17.127512,Centrum,Petržalka,5,1,3,2025
#1 - Starý Most,2025-03-16,180,26,206,48.110442,17.127512,Centrum,Petržalka,6,1,3,2025
#1 - Starý Most,2025-03-17,244,53,297,48.110442,17.127512,Centrum,Petržalka,0,0,3,2025
#1 - Starý Most,2025-03-18,268,62,330,48.110442,17.127512,Centrum,Petržalka,1,0,3,2025
#1 - Starý Most,2025-03-20,334,71,405,48.110442,17.127512,Centrum,Petržalka,3,0,3,2025
