date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,5.8,4.2,9.3,0,,,13.6,24.1,1026.5,
2023-01-02 00:00:00,6.9,4.9,7.9,0,,,11.2,25.9,1025.3,
2023-01-03 00:00:00,7.1,3.1,10.7,0,,,7.8,18.5,1029.2,
2023-01-04 00:00:00,2.9,-0.5,6.1,0,,,7.2,18.5,1028.6,
2023-01-05 00:00:00,11.1,6.3,13.7,1.8,,,24.9,40.8,1017.4,
2023-01-06 00:00:00,8.6,6,10.4,0,,,9.6,29.6,1023.1,
2023-01-07 00:00:00,7.9,5,10,0,,,9.8,25.9,1021.4,
2023-01-08 00:00:00,5.2,0.4,7.4,0,,,14.2,33.3,1013.9,
2023-01-09 00:00:00,6,0.7,9,14.1,,,13.9,38.9,1005.6,
2023-01-10 00:00:00,6.4,5.8,7.6,7.5,,,30,44.5,1014.5,
2023-01-11 00:00:00,5,1.8,8.8,1.6,,,9.5,35.2,1020.6,
2023-01-12 00:00:00,5.8,2.7,11.4,2.7,,,6.8,22.2,1021,
2023-01-13 00:00:00,3.8,1.3,6.3,1.2,,,8.4,18.5,1018.3,
2023-01-14 00:00:00,5.7,-0.4,10.7,0,,,11.2,25.9,1021,
2023-01-15 00:00:00,4.3,2.3,6.4,5.9,,,12.6,33.3,1012.4,
2023-01-16 00:00:00,4,2.8,5.6,1.3,,,12.3,29.6,1001.6,
2023-01-17 00:00:00,3.6,1,7,4.1,,,12.2,25.9,992.4,
2023-01-18 00:00:00,4.1,2.5,7.3,1.1,,,9.9,24.1,994.2,
2023-01-19 00:00:00,2.6,0.1,4.3,0.9,,,18.3,40.8,1005.8,
2023-01-20 00:00:00,0.2,-2.1,1.7,0.2,,,19.7,40.8,1012.1,
2023-01-21 00:00:00,0.8,0.2,1.5,2.6,,,20.3,42.6,1016.5,
2023-01-22 00:00:00,0.8,-0.2,1.6,6.8,,,13.2,31.5,1023.8,
2023-01-23 00:00:00,2.6,1.2,5.9,0,,,9.8,24.1,1029,
2023-01-24 00:00:00,2.5,-0.5,5.7,0,,,11.4,25.9,1033.2,
2023-01-25 00:00:00,1.7,0.6,3.9,0,,,11.8,27.8,1031.1,
2023-01-26 00:00:00,0.9,0.4,1.7,0.2,,,5.6,16.7,1021.7,
2023-01-27 00:00:00,0.7,-0.2,1.9,0,,,13.8,27.8,1018.2,
